time       epoch       loss   val_loss
03:38:57     373   0.154271   0.234406
03:39:42     374   0.157494   0.218251
03:40:27     375   0.155975   0.222927
03:41:13     376   0.156607   0.229807
03:42:25     377   0.156992   0.236867
03:43:11     378   0.154691   0.225519
03:43:56     379   0.158681   0.224558
03:44:41     380   0.155460   0.235354
03:45:27     381   0.156537   0.231702
03:46:12     382   0.157083   0.256960
03:46:58     383   0.158466   0.222371
03:47:43     384   0.155811   0.229464
03:48:29     385   0.155591   0.226762
03:49:14     386   0.155670   0.243548
03:50:00     387   0.158253   0.216257 *
03:50:46     388   0.156278   0.238403
03:51:31     389   0.157974   0.228747
03:52:16     390   0.152746   0.232209
03:53:02     391   0.156817   0.221410
03:53:47     392   0.156399   0.213752 *
03:54:33     393   0.155355   0.238289
03:55:18     394   0.153870   0.233030
03:56:02     395   0.153734   0.234057
03:56:47     396   0.153831   0.227216
03:57:33     397   0.152270   0.233641
03:58:18     398   0.153618   0.233029
03:59:04     399   0.154604   0.229888
03:59:49     400   0.152225   0.236526
04:00:33     401   0.153856   0.224307
04:01:19     402   0.154677   0.222829
04:02:04     403   0.151231   0.232425
04:02:50     404   0.154239   0.229123
04:03:35     405   0.152687   0.244459
04:04:21     406   0.151856   0.234568
04:05:06     407   0.152053   0.225767
04:05:51     408   0.153071   0.223110
04:06:36     409   0.150969   0.239254
04:07:20     410   0.152211   0.231373
04:08:06     411   0.151247   0.236005
04:08:52     412   0.150709   0.228180
04:09:38     413   0.153362   0.238963
04:10:24     414   0.152310   0.229314
04:11:10     415   0.153203   0.232997
04:11:56     416   0.150705   0.221806
04:12:42     417   0.152239   0.222641
04:13:27     418   0.148389   0.228549
04:14:12     419   0.151179   0.230921
04:14:57     420   0.150324   0.222904
04:15:42     421   0.150299   0.219228
04:16:28     422   0.150153   0.231038
04:17:13     423   0.151530   0.232380
04:17:59     424   0.147802   0.235383
04:18:45     425   0.151635   0.227014
04:19:30     426   0.151199   0.230084
04:20:15     427   0.151686   0.229641
04:21:00     428   0.148026   0.228835
04:21:45     429   0.149228   0.237487
04:22:31     430   0.149766   0.227602
04:23:16     431   0.149697   0.243189
04:24:01     432   0.147577   0.219563
04:24:47     433   0.148815   0.233763
04:25:32     434   0.148443   0.219398
04:26:17     435   0.150858   0.229241
04:27:03     436   0.147929   0.227421
04:27:48     437   0.150202   0.229821
04:28:33     438   0.149159   0.232338
04:29:18     439   0.148934   0.221194
04:30:03     440   0.151734   0.227477
04:30:48     441   0.148388   0.235377
04:31:34     442   0.148988   0.232966
04:32:19     443   0.150721   0.232282
04:33:05     444   0.146742   0.237519
04:33:50     445   0.149121   0.243184
04:34:35     446   0.148183   0.228564
04:35:18     447   0.147690   0.228275
04:36:03     448   0.150331   0.232313
04:36:48     449   0.147504   0.223270
04:37:33     450   0.148895   0.227791
04:38:18     451   0.147353   0.226835
04:39:03     452   0.147273   0.223898
04:39:49     453   0.147390   0.224364
04:40:34     454   0.147051   0.227369
04:41:19     455   0.146981   0.232099
04:42:05     456   0.145829   0.217223
04:42:50     457   0.145200   0.238000
04:43:35     458   0.144721   0.220931
04:44:20     459   0.146429   0.236595
04:45:05     460   0.145835   0.220738
04:45:51     461   0.147159   0.232292
04:46:36     462   0.145598   0.217130
04:47:21     463   0.149067   0.231060
04:48:06     464   0.144423   0.224561
04:48:52     465   0.146771   0.232630
04:49:37     466   0.143763   0.216575
04:50:22     467   0.145539   0.224976
04:51:07     468   0.142253   0.227790
04:51:53     469   0.144389   0.229852
04:52:38     470   0.144185   0.226925
04:53:24     471   0.144596   0.225617
04:54:09     472   0.145270   0.227259
04:54:55     473   0.141142   0.227394
04:55:40     474   0.141495   0.228185
04:56:25     475   0.143495   0.229550
04:57:11     476   0.143086   0.227134
04:57:56     477   0.144622   0.221812
04:58:42     478   0.143611   0.235905
04:59:28     479   0.142538   0.228424
05:00:13     480   0.141903   0.226061
05:00:58     481   0.141971   0.239553
05:01:44     482   0.144205   0.246434
